n, metric, wheight, bias, rmse, mae
5 euclidean 0 0 1.0634952737447796 0.8702257391814225
5 euclidean 1 0 1.069041459225466 0.8792066300793726
5 cosine 0 0 1.0634952737447796 0.8702257391814225
5 cosine 1 0 1.0800507650695113 0.8847849329177392
5 euclidean 0 1 0.9896235293176636 0.8264002089634177
5 euclidean 1 1 0.9768907230292045 0.8148456458069103
5 cosine 0 1 0.9896235293176636 0.8264002089634177
5 cosine 1 1 0.9864598748965449 0.8197597209228991
10 euclidean 0 0 1.1258413193046468 0.9680798578942517
10 euclidean 1 0 1.127948419066107 0.9792999716054989
10 cosine 0 0 1.1258413193046468 0.9680798578942517
10 cosine 1 0 1.1422876766287504 0.9847176482257815
10 euclidean 0 1 1.1247238811405833 0.986059811498374
10 euclidean 1 1 1.0526932164890053 0.9190867216645938
10 cosine 0 1 1.1247238811405833 0.986059811498374
10 cosine 1 1 1.0709428369677463 0.9369866744079549
15 euclidean 0 0 1.113832341394978 0.9722547436768949
15 euclidean 1 0 1.114997258120933 0.9758612582973587
15 cosine 0 0 1.113832341394978 0.9722547436768949
15 cosine 1 0 1.1143541237157233 0.9726331461289848
15 euclidean 0 1 1.0554324036264227 0.9038918065392603
15 euclidean 1 1 1.0563463009472231 0.9056074466196163
15 cosine 0 1 1.0554324036264227 0.9038918065392603
15 cosine 1 1 1.059353865863611 0.9084424387529831
